Image,Steering,Accelerate
Data/Image_1723634462109835 110.jpg,35.0,88.0
Data/Image_1723634462128013 111.jpg,35.0,88.0
Data/Image_1723634462178024 112.jpg,35.0,129.0
Data/Image_1723634462193468 113.jpg,35.0,129.0
Data/Image_1723634462226102 114.jpg,35.0,129.0
Data/Image_1723634462280049 115.jpg,35.0,136.0
Data/Image_1723634462292482 116.jpg,35.0,136.0
Data/Image_1723634462330907 117.jpg,35.0,139.0
Data/Image_1723634462374972 118.jpg,35.0,137.0
Data/Image_1723634462394248 119.jpg,35.0,137.0
Data/Image_1723634462443517 120.jpg,35.0,126.0
Data/Image_1723634462461078 121.jpg,35.0,126.0
Data/Image_1723634462511349 122.jpg,35.0,131.0
Data/Image_1723634462526143 123.jpg,35.0,131.0
Data/Image_1723634462571634 124.jpg,35.0,133.0
Data/Image_1723634462592418 125.jpg,35.0,133.0
Data/Image_1723634462639999 126.jpg,35.0,148.0
Data/Image_172363446265863 127.jpg,35.0,153.0
Data/Image_1723634462709731 128.jpg,35.0,174.0
Data/Image_1723634462727372 129.jpg,35.0,174.0
Data/Image_1723634462786722 130.jpg,35.0,181.0
Data/Image_1723634462801097 131.jpg,35.0,181.0
Data/Image_1723634462827232 132.jpg,35.0,181.0
Data/Image_1723634462860469 133.jpg,35.0,183.0
Data/Image_1723634462906255 134.jpg,35.0,190.0
Data/Image_1723634462927268 135.jpg,35.0,190.0
Data/Image_1723634462975373 136.jpg,35.0,208.0
Data/Image_1723634462994456 137.jpg,35.0,208.0
Data/Image_1723634463043938 138.jpg,35.0,218.0
Data/Image_1723634463061738 139.jpg,35.0,218.0
Data/Image_1723634463113536 140.jpg,35.0,225.0
Data/Image_172363446312945 141.jpg,35.0,225.0
Data/Image_1723634463166268 142.jpg,35.0,223.0
Data/Image_1723634463206382 143.jpg,35.0,221.0
Data/Image_1723634463225343 144.jpg,35.0,221.0
Data/Image_1723634463275 145.jpg,35.0,220.0
Data/Image_1723634463295713 146.jpg,35.0,220.0
Data/Image_1723634463344248 147.jpg,35.0,219.0
Data/Image_172363446336147 148.jpg,35.0,219.0
Data/Image_1723634463411447 149.jpg,35.0,211.0
Data/Image_1723634463427243 150.jpg,35.0,211.0
Data/Image_1723634463459593 151.jpg,35.0,211.0
Data/Image_172363446350637 152.jpg,35.0,210.0
Data/Image_1723634463525666 153.jpg,35.0,210.0
Data/Image_1723634463575188 154.jpg,35.0,216.0
Data/Image_1723634463594437 155.jpg,35.0,216.0
Data/Image_172363446364357 156.jpg,35.0,222.0
Data/Image_172363446366924 157.jpg,35.0,222.0
Data/Image_1723634463714418 158.jpg,35.0,225.0
Data/Image_1723634463728246 159.jpg,35.0,225.0
Data/Image_1723634463771426 160.jpg,35.0,226.0
Data/Image_1723634463792648 161.jpg,35.0,226.0
Data/Image_1723634463840312 162.jpg,35.0,228.0
Data/Image_1723634463859308 163.jpg,35.0,228.0
Data/Image_1723634463909743 164.jpg,35.0,231.0
Data/Image_1723634463928517 165.jpg,35.0,231.0
Data/Image_1723634463978213 166.jpg,35.0,229.0
Data/Image_1723634463993518 167.jpg,35.0,229.0
Data/Image_1723634464038038 168.jpg,35.0,225.0
Data/Image_1723634464059439 169.jpg,35.0,225.0
Data/Image_1723634464106377 170.jpg,35.0,221.0
Data/Image_1723634464125577 171.jpg,35.0,221.0
Data/Image_1723634464175206 172.jpg,35.0,221.0
Data/Image_1723634464192681 173.jpg,35.0,221.0
Data/Image_1723634464243729 174.jpg,35.0,222.0
Data/Image_1723634464260362 175.jpg,35.0,222.0
Data/Image_1723634464311785 176.jpg,35.0,220.0
Data/Image_1723634464326515 177.jpg,35.0,220.0
Data/Image_1723634464371467 178.jpg,35.0,221.0
Data/Image_1723634464392734 179.jpg,35.0,221.0
Data/Image_1723634464441093 180.jpg,35.0,219.0
Data/Image_1723634464459539 181.jpg,35.0,220.0
Data/Image_1723634464509769 182.jpg,35.0,222.0
Data/Image_1723634464529525 183.jpg,35.0,222.0
Data/Image_1723634464578222 184.jpg,35.0,205.0
Data/Image_1723634464593907 185.jpg,35.0,205.0
Data/Image_1723634464637885 186.jpg,35.0,202.0
Data/Image_1723634464659912 187.jpg,35.0,202.0
Data/Image_172363446470709 188.jpg,35.0,200.0
Data/Image_1723634464726209 189.jpg,35.0,200.0
Data/Image_1723634464775132 190.jpg,35.0,199.0
Data/Image_1723634464792233 191.jpg,35.0,199.0
Data/Image_1723634464844013 192.jpg,35.0,172.0
Data/Image_1723634464861758 193.jpg,35.0,172.0
Data/Image_172363446491152 194.jpg,35.0,144.0
Data/Image_1723634464927607 195.jpg,35.0,144.0
Data/Image_1723634464960769 196.jpg,35.0,125.0
Data/Image_1723634464994 197.jpg,35.0,125.0
Data/Image_172363446503977 198.jpg,35.0,101.0
Data/Image_1723634465058583 199.jpg,35.0,106.0
Data/Image_1723634465109405 200.jpg,35.0,109.0
Data/Image_1723634465127593 201.jpg,35.0,109.0
Data/Image_1723634465177741 202.jpg,35.0,111.0
Data/Image_1723634465193647 203.jpg,35.0,111.0
Data/Image_1723634465238206 204.jpg,35.0,113.0
Data/Image_1723634465259589 205.jpg,35.0,113.0
Data/Image_1723634465306585 206.jpg,35.0,122.0
Data/Image_1723634465326366 207.jpg,35.0,122.0
Data/Image_1723634465375003 208.jpg,35.0,126.0
Data/Image_1723634465391714 209.jpg,35.0,126.0
Data/Image_1723634465443442 210.jpg,32.0,129.0
Data/Image_1723634465461661 211.jpg,28.0,129.0
Data/Image_1723634465511372 212.jpg,28.0,130.0
Data/Image_1723634465526783 213.jpg,28.0,130.0
Data/Image_1723634465571595 214.jpg,32.0,130.0
Data/Image_1723634465592692 215.jpg,32.0,130.0
Data/Image_1723634465639837 216.jpg,35.0,132.0
Data/Image_172363446565917 217.jpg,35.0,135.0
Data/Image_172363446578253 218.jpg,35.0,141.0
Data/Image_1723634465793033 219.jpg,35.0,141.0
Data/Image_172363446580439 220.jpg,35.0,141.0
Data/Image_1723634465813469 221.jpg,35.0,141.0
Data/Image_1723634465826642 222.jpg,35.0,141.0
Data/Image_1723634465871557 223.jpg,35.0,140.0
Data/Image_1723634465893333 224.jpg,35.0,140.0
Data/Image_1723634465939814 225.jpg,35.0,139.0
Data/Image_172363446595903 226.jpg,35.0,136.0
Data/Image_1723634466009295 227.jpg,35.0,136.0
Data/Image_1723634466025615 228.jpg,35.0,136.0
Data/Image_1723634466077755 229.jpg,35.0,135.0
Data/Image_172363446609408 230.jpg,35.0,135.0
Data/Image_1723634466137846 231.jpg,35.0,136.0
Data/Image_1723634466159692 232.jpg,35.0,136.0
Data/Image_1723634466258373 233.jpg,40.0,139.0
Data/Image_1723634466269339 234.jpg,40.0,139.0
Data/Image_1723634466284471 235.jpg,40.0,139.0
Data/Image_1723634466299417 236.jpg,40.0,139.0
Data/Image_1723634466343561 237.jpg,40.0,134.0
Data/Image_172363446636085 238.jpg,43.0,134.0
Data/Image_1723634466413613 239.jpg,49.0,133.0
Data/Image_1723634466427808 240.jpg,49.0,133.0
Data/Image_1723634466475743 241.jpg,49.0,128.0
Data/Image_1723634466495195 242.jpg,49.0,128.0
Data/Image_1723634466538439 243.jpg,51.0,127.0
Data/Image_1723634466559048 244.jpg,51.0,127.0
Data/Image_1723634466609494 245.jpg,50.0,130.0
Data/Image_1723634466626639 246.jpg,50.0,130.0
Data/Image_1723634466679874 247.jpg,49.0,130.0
Data/Image_1723634466696797 248.jpg,49.0,129.0
Data/Image_1723634466751137 249.jpg,49.0,129.0
Data/Image_1723634466762312 250.jpg,49.0,129.0
Data/Image_1723634466813385 251.jpg,48.0,127.0
Data/Image_1723634466828056 252.jpg,48.0,127.0
Data/Image_172363446687518 253.jpg,48.0,129.0
Data/Image_1723634466895138 254.jpg,48.0,129.0
Data/Image_1723634466938469 255.jpg,48.0,126.0
Data/Image_1723634466964743 256.jpg,48.0,126.0
Data/Image_1723634467004817 257.jpg,52.0,126.0
Data/Image_1723634467043668 258.jpg,52.0,118.0
Data/Image_1723634467065001 259.jpg,53.0,118.0
Data/Image_1723634467106447 260.jpg,53.0,118.0
Data/Image_1723634467128392 261.jpg,53.0,118.0
Data/Image_1723634467180044 262.jpg,53.0,118.0
Data/Image_1723634467194053 263.jpg,53.0,134.0
Data/Image_1723634467245492 264.jpg,53.0,134.0
Data/Image_1723634467264446 265.jpg,53.0,134.0
Data/Image_1723634467313398 266.jpg,53.0,152.0
Data/Image_1723634467328277 267.jpg,53.0,152.0
Data/Image_1723634467375436 268.jpg,53.0,164.0
Data/Image_1723634467394515 269.jpg,53.0,164.0
Data/Image_1723634467446282 270.jpg,53.0,168.0
Data/Image_1723634467461001 271.jpg,53.0,168.0
Data/Image_1723634467509401 272.jpg,53.0,161.0
Data/Image_1723634467540229 273.jpg,53.0,161.0
Data/Image_1723634467571277 274.jpg,53.0,161.0
Data/Image_1723634467596479 275.jpg,53.0,161.0
Data/Image_1723634467642314 276.jpg,54.0,162.0
Data/Image_1723634467663153 277.jpg,54.0,162.0
Data/Image_1723634467713748 278.jpg,55.0,168.0
Data/Image_1723634467728949 279.jpg,55.0,168.0
Data/Image_1723634467761033 280.jpg,55.0,168.0
Data/Image_1723634467811819 281.jpg,55.0,171.0
Data/Image_1723634467826049 282.jpg,55.0,171.0
Data/Image_1723634467879797 283.jpg,55.0,175.0
Data/Image_1723634467895125 284.jpg,55.0,175.0
Data/Image_17236344679437 285.jpg,55.0,203.0
Data/Image_1723634467960286 286.jpg,54.0,203.0
Data/Image_1723634468006519 287.jpg,54.0,218.0
Data/Image_1723634468026999 288.jpg,54.0,218.0
Data/Image_172363446806942 289.jpg,54.0,213.0
Data/Image_1723634468093517 290.jpg,54.0,213.0
Data/Image_1723634468126686 291.jpg,54.0,213.0
Data/Image_1723634468175283 292.jpg,55.0,212.0
Data/Image_1723634468194057 293.jpg,55.0,212.0
Data/Image_1723634468246555 294.jpg,54.0,206.0
Data/Image_1723634468260139 295.jpg,54.0,206.0
Data/Image_172363446830968 296.jpg,54.0,201.0
Data/Image_1723634468326875 297.jpg,54.0,201.0
Data/Image_1723634468371375 298.jpg,54.0,201.0
Data/Image_1723634468394278 299.jpg,54.0,201.0
Data/Image_1723634468441933 300.jpg,54.0,197.0
Data/Image_1723634468461194 301.jpg,54.0,197.0
Data/Image_172363446851594 302.jpg,54.0,198.0
Data/Image_1723634468529185 303.jpg,54.0,198.0
Data/Image_1723634468560524 304.jpg,54.0,198.0
Data/Image_1723634468611831 305.jpg,55.0,192.0
Data/Image_1723634468626042 306.jpg,55.0,192.0
Data/Image_1723634468673886 307.jpg,55.0,188.0
Data/Image_1723634468692075 308.jpg,55.0,188.0
Data/Image_1723634468744008 309.jpg,55.0,190.0
Data/Image_1723634468758202 310.jpg,53.0,190.0
Data/Image_1723634468806465 311.jpg,53.0,191.0
Data/Image_1723634468827803 312.jpg,53.0,191.0
Data/Image_1723634468877835 313.jpg,50.0,188.0
Data/Image_172363446890378 314.jpg,50.0,188.0
Data/Image_1723634468927728 315.jpg,50.0,188.0
Data/Image_1723634468975144 316.jpg,50.0,188.0
Data/Image_1723634468992325 317.jpg,50.0,188.0
Data/Image_172363446904376 318.jpg,50.0,192.0
Data/Image_1723634469058099 319.jpg,50.0,192.0
Data/Image_1723634469111377 320.jpg,40.0,194.0
Data/Image_1723634469128513 321.jpg,40.0,194.0
Data/Image_1723634469171374 322.jpg,35.0,189.0
Data/Image_1723634469193226 323.jpg,35.0,189.0
Data/Image_1723634469239809 324.jpg,35.0,196.0
Data/Image_172363446925902 325.jpg,35.0,197.0
Data/Image_1723634469309449 326.jpg,35.0,194.0
Data/Image_1723634469325372 327.jpg,35.0,194.0
Data/Image_1723634469369621 328.jpg,35.0,197.0
Data/Image_1723634469391301 329.jpg,35.0,197.0
Data/Image_1723634469437839 330.jpg,35.0,197.0
Data/Image_1723634469460463 331.jpg,35.0,197.0
Data/Image_172363446950643 332.jpg,37.0,191.0
Data/Image_1723634469527931 333.jpg,37.0,191.0
Data/Image_1723634469575338 334.jpg,44.0,191.0
Data/Image_1723634469592527 335.jpg,44.0,191.0
Data/Image_1723634469644348 336.jpg,49.0,193.0
Data/Image_1723634469658118 337.jpg,51.0,193.0
Data/Image_1723634469706523 338.jpg,51.0,197.0
Data/Image_1723634469727247 339.jpg,51.0,197.0
Data/Image_1723634469775062 340.jpg,48.0,199.0
Data/Image_172363446979542 341.jpg,48.0,199.0
Data/Image_1723634469844183 342.jpg,43.0,201.0
Data/Image_1723634469859834 343.jpg,35.0,201.0
Data/Image_1723634469903373 344.jpg,35.0,206.0
Data/Image_172363446992553 345.jpg,35.0,206.0
Data/Image_1723634469972004 346.jpg,35.0,198.0
Data/Image_1723634469991209 347.jpg,35.0,198.0
Data/Image_1723634470040643 348.jpg,35.0,200.0
Data/Image_1723634470061512 349.jpg,35.0,200.0
Data/Image_1723634470109355 350.jpg,33.0,201.0
Data/Image_1723634470128501 351.jpg,33.0,201.0
Data/Image_172363447017809 352.jpg,32.0,199.0
Data/Image_1723634470192783 353.jpg,32.0,199.0
Data/Image_1723634470225557 354.jpg,32.0,199.0
Data/Image_172363447027177 355.jpg,25.0,202.0
Data/Image_1723634470292451 356.jpg,25.0,202.0
Data/Image_1723634470339904 357.jpg,23.0,201.0
Data/Image_1723634470360262 358.jpg,23.0,203.0
Data/Image_1723634470409895 359.jpg,30.0,203.0
Data/Image_1723634470426788 360.jpg,30.0,203.0
Data/Image_1723634470477856 361.jpg,35.0,203.0
Data/Image_1723634470492707 362.jpg,35.0,203.0
Data/Image_1723634470527672 363.jpg,35.0,203.0
Data/Image_1723634470559386 364.jpg,35.0,204.0
Data/Image_1723634470606478 365.jpg,35.0,203.0
Data/Image_1723634470629989 366.jpg,35.0,203.0
Data/Image_1723634470661766 367.jpg,35.0,203.0
Data/Image_1723634470709696 368.jpg,36.0,221.0
Data/Image_1723634470726724 369.jpg,36.0,221.0
Data/Image_1723634470778903 370.jpg,36.0,253.0
Data/Image_1723634470794869 371.jpg,36.0,253.0
Data/Image_1723634470841602 372.jpg,36.0,264.0
Data/Image_1723634470858773 373.jpg,36.0,264.0
Data/Image_172363447090637 374.jpg,35.0,264.0
Data/Image_1723634470929433 375.jpg,35.0,264.0
Data/Image_1723634470960814 376.jpg,35.0,264.0
Data/Image_1723634471009415 377.jpg,31.0,263.0
Data/Image_1723634471028265 378.jpg,31.0,263.0
Data/Image_1723634471077965 379.jpg,28.0,268.0
Data/Image_1723634471098488 380.jpg,28.0,268.0
Data/Image_1723634471138669 381.jpg,28.0,268.0
Data/Image_1723634471158909 382.jpg,28.0,268.0
Data/Image_1723634471206348 383.jpg,35.0,266.0
Data/Image_172363447122479 384.jpg,35.0,266.0
Data/Image_1723634471274989 385.jpg,35.0,263.0
Data/Image_1723634471294948 386.jpg,35.0,263.0
Data/Image_1723634471343662 387.jpg,31.0,259.0
Data/Image_1723634471362586 388.jpg,25.0,259.0
Data/Image_1723634471403292 389.jpg,25.0,263.0
Data/Image_1723634471426287 390.jpg,15.0,263.0
Data/Image_1723634471471517 391.jpg,18.0,265.0
Data/Image_1723634471493961 392.jpg,18.0,265.0
Data/Image_172363447154056 393.jpg,15.0,274.0
Data/Image_1723634471561439 394.jpg,15.0,268.0
Data/Image_1723634471610064 395.jpg,21.0,269.0
Data/Image_1723634471626631 396.jpg,21.0,269.0
Data/Image_1723634471678091 397.jpg,31.0,267.0
Data/Image_1723634471693444 398.jpg,31.0,267.0
Data/Image_1723634471726648 399.jpg,31.0,267.0
Data/Image_1723634471771539 400.jpg,35.0,267.0
Data/Image_1723634471793173 401.jpg,35.0,267.0
Data/Image_1723634471840081 402.jpg,36.0,262.0
Data/Image_1723634471860778 403.jpg,36.0,251.0
Data/Image_1723634471909616 404.jpg,46.0,248.0
Data/Image_1723634471926726 405.jpg,46.0,248.0
Data/Image_1723634471977923 406.jpg,52.0,247.0
Data/Image_1723634471993782 407.jpg,52.0,247.0
Data/Image_1723634472025899 408.jpg,52.0,247.0
Data/Image_172363447207989 409.jpg,35.0,244.0
Data/Image_1723634472092664 410.jpg,35.0,245.0
Data/Image_1723634472141359 411.jpg,35.0,245.0
Data/Image_1723634472160666 412.jpg,35.0,245.0
Data/Image_1723634472214251 413.jpg,28.0,248.0
Data/Image_1723634472226551 414.jpg,28.0,248.0
Data/Image_1723634472277901 415.jpg,19.0,248.0
Data/Image_1723634472292755 416.jpg,19.0,248.0
Data/Image_1723634472325646 417.jpg,19.0,248.0
Data/Image_172363447237144 418.jpg,26.0,249.0
Data/Image_1723634472392741 419.jpg,26.0,249.0
Data/Image_1723634472439867 420.jpg,37.0,245.0
Data/Image_1723634472461782 421.jpg,37.0,243.0
Data/Image_1723634472509609 422.jpg,35.0,259.0
Data/Image_1723634472527373 423.jpg,35.0,259.0
Data/Image_1723634472577849 424.jpg,35.0,246.0
Data/Image_1723634472593911 425.jpg,35.0,246.0
Data/Image_172363447264657 426.jpg,35.0,247.0
Data/Image_1723634472659653 427.jpg,35.0,247.0
Data/Image_1723634472715634 428.jpg,35.0,249.0
Data/Image_1723634472726638 429.jpg,35.0,249.0
Data/Image_1723634472775283 430.jpg,30.0,255.0
Data/Image_1723634472795075 431.jpg,30.0,255.0
Data/Image_1723634472843697 432.jpg,20.0,257.0
Data/Image_1723634472861123 433.jpg,23.0,257.0
Data/Image_1723634472911824 434.jpg,35.0,260.0
Data/Image_1723634472927103 435.jpg,35.0,260.0
Data/Image_1723634472971561 436.jpg,35.0,258.0
Data/Image_1723634472993421 437.jpg,35.0,258.0
Data/Image_1723634473040218 438.jpg,34.0,258.0
Data/Image_1723634473059743 439.jpg,34.0,261.0
Data/Image_1723634473109677 440.jpg,22.0,255.0
Data/Image_1723634473127721 441.jpg,22.0,255.0
Data/Image_172363447317782 442.jpg,16.0,228.0
Data/Image_1723634473194852 443.jpg,16.0,228.0
Data/Image_1723634473246417 444.jpg,35.0,224.0
Data/Image_1723634473259484 445.jpg,35.0,224.0
Data/Image_1723634473306561 446.jpg,35.0,217.0
Data/Image_1723634473325813 447.jpg,35.0,217.0
Data/Image_1723634473375218 448.jpg,36.0,193.0
Data/Image_1723634473396621 449.jpg,36.0,193.0
Data/Image_1723634473443473 450.jpg,36.0,187.0
Data/Image_1723634473461901 451.jpg,36.0,187.0
Data/Image_172363447351137 452.jpg,36.0,169.0
Data/Image_1723634473535309 453.jpg,36.0,169.0
Data/Image_1723634473579727 454.jpg,35.0,163.0
Data/Image_1723634473597813 455.jpg,35.0,168.0
Data/Image_1723634473639791 456.jpg,30.0,168.0
Data/Image_1723634473660456 457.jpg,30.0,173.0
Data/Image_172363447370977 458.jpg,26.0,146.0
Data/Image_1723634473726716 459.jpg,26.0,146.0
Data/Image_1723634473777863 460.jpg,25.0,119.0
Data/Image_1723634473793256 461.jpg,25.0,119.0
Data/Image_172363447383845 462.jpg,23.0,77.0
Data/Image_172363447385978 463.jpg,23.0,77.0
Data/Image_1723634473906283 464.jpg,23.0,47.0
Data/Image_1723634473925378 465.jpg,23.0,47.0
Data/Image_1723634473974971 466.jpg,25.0,16.0
Data/Image_1723634473994199 467.jpg,25.0,16.0
Data/Image_1723634474043768 468.jpg,36.0,-5.0
Data/Image_1723634474059943 469.jpg,38.0,-5.0
Data/Image_1723634474106018 470.jpg,38.0,-8.0
Data/Image_1723634474127775 471.jpg,38.0,-8.0
Data/Image_1723634474177899 472.jpg,41.0,-9.0
Data/Image_1723634474193771 473.jpg,41.0,-9.0
Data/Image_1723634474226596 474.jpg,41.0,-9.0
Data/Image_1723634474275217 475.jpg,44.0,-9.0
Data/Image_1723634474294058 476.jpg,44.0,-9.0
Data/Image_1723634474346168 477.jpg,40.0,-9.0
Data/Image_1723634474359854 478.jpg,40.0,-9.0
Data/Image_1723634474409296 479.jpg,35.0,-8.0
Data/Image_1723634474426126 480.jpg,35.0,-8.0
Data/Image_1723634474470855 481.jpg,36.0,-8.0
Data/Image_1723634474491856 482.jpg,36.0,-8.0
Data/Image_1723634474542203 483.jpg,42.0,-10.0
Data/Image_1723634474558109 484.jpg,42.0,-10.0
Data/Image_1723634474613319 485.jpg,43.0,-9.0
Data/Image_1723634474628028 486.jpg,43.0,-9.0
Data/Image_1723634474675042 487.jpg,43.0,-9.0
Data/Image_1723634474693461 488.jpg,43.0,-9.0
Data/Image_1723634474738189 489.jpg,40.0,-9.0
Data/Image_1723634474761317 490.jpg,40.0,-9.0
Data/Image_1723634474809254 491.jpg,50.0,-7.0
Data/Image_17236344748263 492.jpg,50.0,-7.0
Data/Image_1723634474871249 493.jpg,53.0,-7.0
Data/Image_1723634474895022 494.jpg,53.0,-7.0
Data/Image_1723634474941893 495.jpg,53.0,12.0
Data/Image_1723634474963347 496.jpg,53.0,12.0
Data/Image_1723634475013579 497.jpg,53.0,35.0
Data/Image_1723634475027909 498.jpg,53.0,35.0
Data/Image_1723634475075555 499.jpg,53.0,53.0
Data/Image_1723634475094634 500.jpg,53.0,53.0
Data/Image_1723634475137811 501.jpg,48.0,49.0
Data/Image_1723634475159034 502.jpg,48.0,49.0
Data/Image_1723634475210487 503.jpg,49.0,73.0
Data/Image_1723634475229084 504.jpg,49.0,73.0
Data/Image_1723634475279597 505.jpg,51.0,73.0
Data/Image_1723634475297286 506.jpg,51.0,99.0
Data/Image_1723634475327409 507.jpg,51.0,99.0
Data/Image_172363447537794 508.jpg,52.0,114.0
Data/Image_1723634475394528 509.jpg,52.0,114.0
Data/Image_1723634475439563 510.jpg,52.0,114.0
Data/Image_1723634475461739 511.jpg,52.0,139.0
Data/Image_1723634475511077 512.jpg,52.0,139.0
Data/Image_1723634475528991 513.jpg,52.0,139.0
Data/Image_1723634475573682 514.jpg,52.0,142.0
Data/Image_172363447559501 515.jpg,52.0,142.0
